time,ax,ay,az,gx,gy,gz
0,0.03,0.01,-1.01,1.03,-0.85,3.07
1,-0.02,0.00,-0.97,1.05,-2.30,3.04
2,-0.00,0.02,-0.97,1.13,-1.46,2.64
3,0.01,0.01,-0.99,1.10,-1.59,2.35
4,0.02,0.03,-0.97,0.39,-2.33,2.91
5,-0.03,0.01,-0.98,1.27,-1.34,2.20
6,0.02,0.00,-1.02,1.71,-1.97,2.58
7,0.01,0.01,-1.01,1.26,-2.97,3.46
8,0.02,0.00,-1.01,0.03,-0.78,2.82
9,0.02,-0.02,-1.00,0.59,4.80,1.53
10,0.30,0.03,-0.92,8.33,29.11,-11.60
11,0.30,-0.05,-0.91,-6.00,-5.48,2.37
12,0.03,0.07,-1.06,1.19,-73.43,-0.59
13,-0.01,0.02,-1.01,1.27,-2.40,3.54
14,0.04,0.00,-1.00,0.79,-1.37,2.26
15,0.02,0.04,-1.03,0.43,-1.79,2.62
16,0.01,0.02,-0.99,0.97,0.46,3.16
17,0.02,0.03,-1.00,0.25,6.58,3.30
18,0.35,0.09,-0.87,-13.16,68.24,0.82
19,0.50,0.03,-0.88,-3.14,5.64,4.15
20,0.18,0.03,-0.86,24.74,-150.92,-2.57
21,0.03,0.01,-0.98,1.12,-4.32,2.52
22,0.02,-0.00,-0.99,-0.91,0.47,2.05
23,0.03,-0.01,-1.01,1.42,-0.09,1.13
24,0.03,0.01,-1.00,0.87,-2.46,3.10
25,0.00,0.05,-0.97,1.01,-1.41,2.64
26,-0.02,-0.05,-1.00,-0.93,-3.38,-6.64
27,-0.10,-0.07,-0.96,1.40,-0.92,-85.27
28,0.01,0.03,-0.98,1.63,-1.11,-62.54
29,-0.00,0.04,-0.98,1.35,-3.43,-63.19
30,-0.01,-0.02,-1.04,-2.26,3.33,15.01
31,0.24,-0.00,-0.90,21.00,141.72,-23.17
32,0.65,0.10,-0.68,-6.64,16.05,3.50
33,0.22,0.03,-0.97,16.62,-147.35,14.57
34,0.01,-0.01,-0.98,0.50,-7.60,1.56
35,0.02,0.03,-1.00,1.72,-1.31,4.38
36,0.04,0.06,-1.01,-0.02,4.33,7.21
37,0.01,0.05,-0.99,4.17,-7.42,0.69
38,0.01,0.01,-1.00,0.72,-0.30,3.65
39,0.03,0.00,-0.98,1.08,0.65,0.91
40,0.38,-0.00,-1.01,-14.94,200.22,-20.52
41,0.75,0.08,-0.57,-12.20,-27.03,5.34
42,0.09,0.02,-1.03,15.58,-156.81,7.23
43,0.04,0.01,-1.03,1.24,-2.54,2.65
44,0.04,0.03,-0.99,1.50,-1.86,2.85
45,0.01,0.01,-0.98,1.63,-1.38,2.17
46,0.03,0.03,-0.99,1.35,-0.64,2.28
47,-0.01,0.00,-0.99,1.04,-0.79,1.63
48,0.05,0.02,-1.05,1.83,30.07,2.92
49,0.56,0.05,-0.77,-21.99,179.81,14.53
